      Step     Time          Energy          fmax
FIRE:    0 00:27:29     -131.286745        0.445799
FIRE:    1 00:34:54     -131.290422        0.430948
FIRE:    2 00:39:03     -131.297801        0.401142
FIRE:    3 00:43:39     -131.307971        0.360235
FIRE:    4 00:49:34     -131.319782        0.310526
FIRE:    5 00:54:26     -131.332059        0.254633
FIRE:    6 00:59:41     -131.342599        0.206206
FIRE:    7 01:04:56     -131.348471        0.162614
FIRE:    8 01:10:13     -131.350973        0.118327
FIRE:    9 01:15:58     -131.352638        0.080812
