      Step     Time          Energy          fmax
BFGS:    0 23:51:50     -131.268518        1.992222
BFGS:    1 23:52:39     -131.353019        1.781084
BFGS:    2 23:53:42     -131.705984        0.615903
BFGS:    3 23:54:43     -131.764941        0.214884
BFGS:    4 23:55:31     -131.775488        0.120814
BFGS:    5 23:56:09     -131.778588        0.128612
BFGS:    6 23:56:55     -131.784754        0.176801
BFGS:    7 23:57:45     -131.797350        0.231073
BFGS:    8 23:58:43     -131.817496        0.270714
BFGS:    9 23:59:45     -131.838492        0.258027
BFGS:   10 00:00:45     -131.853582        0.186029
BFGS:   11 00:01:36     -131.859024        0.109219
BFGS:   12 00:02:16     -131.861143        0.126090
BFGS:   13 00:03:09     -131.867324        0.182146
BFGS:   14 00:04:02     -131.879181        0.236897
BFGS:   15 00:05:00     -131.900673        0.259603
BFGS:   16 00:06:06     -131.921794        0.184514
BFGS:   17 00:07:05     -131.931025        0.104529
BFGS:   18 00:07:55     -131.933436        0.101920
BFGS:   19 00:08:37     -131.934773        0.095215
BFGS:   20 00:09:19     -131.937477        0.083425
BFGS:   21 00:10:07     -131.943058        0.099868
BFGS:   22 00:10:59     -131.950409        0.095988
BFGS:   23 00:11:55     -131.956006        0.062255
BFGS:   24 00:12:42     -131.957827        0.070700
BFGS:   25 00:13:16     -131.958219        0.063513
BFGS:   26 00:13:50     -131.958594        0.057047
BFGS:   27 00:14:31     -131.959628        0.046527
