      Step     Time          Energy          fmax
BFGS:    0 02:44:42     -128.574698        1.983742
BFGS:    1 02:45:49     -128.660066        1.779065
BFGS:    2 02:47:55     -129.026587        0.627684
BFGS:    3 02:50:07     -129.095455        0.191958
BFGS:    4 02:52:36     -129.108532        0.198590
BFGS:    5 02:54:08     -129.113621        0.205897
BFGS:    6 02:55:12     -129.124781        0.214825
BFGS:    7 02:56:25     -129.145598        0.281992
BFGS:    8 02:57:35     -129.172754        0.321441
BFGS:    9 02:58:44     -129.196916        0.297058
BFGS:   10 03:00:16     -129.212460        0.209339
BFGS:   11 03:01:28     -129.216484        0.140332
BFGS:   12 03:02:29     -129.218365        0.158021
BFGS:   13 03:03:55     -129.227545        0.204813
BFGS:   14 03:05:26     -129.242635        0.227056
BFGS:   15 03:07:13     -129.263656        0.179612
BFGS:   16 03:09:09     -129.278554        0.071952
BFGS:   17 03:10:05     -129.282862        0.047872
