      Step     Time          Energy          fmax
BFGS:    0 23:15:28     -131.268517        1.992226
BFGS:    1 23:16:49     -131.353014        1.781084
BFGS:    2 23:18:22     -131.705983        0.615915
BFGS:    3 23:19:40     -131.764942        0.214872
BFGS:    4 23:20:55     -131.775488        0.120814
BFGS:    5 23:21:55     -131.778588        0.128611
BFGS:    6 23:23:01     -131.784754        0.176799
BFGS:    7 23:24:20     -131.797349        0.231070
BFGS:    8 23:25:54     -131.817495        0.270715
BFGS:    9 23:27:33     -131.838491        0.258029
BFGS:   10 23:29:04     -131.853582        0.186028
BFGS:   11 23:30:23     -131.859023        0.109221
BFGS:   12 23:31:18     -131.861143        0.126090
BFGS:   13 23:32:38     -131.867323        0.182112
BFGS:   14 23:34:14     -131.879183        0.236894
BFGS:   15 23:35:40     -131.900665        0.259541
BFGS:   16 23:37:18     -131.921780        0.184694
BFGS:   17 23:38:47     -131.931026        0.104569
BFGS:   18 23:40:01     -131.933434        0.101955
BFGS:   19 23:41:03     -131.934772        0.095222
BFGS:   20 23:42:05     -131.937480        0.083437
BFGS:   21 23:43:17     -131.943058        0.099866
BFGS:   22 23:44:38     -131.950408        0.096404
BFGS:   23 23:45:59     -131.956021        0.061912
BFGS:   24 23:47:11     -131.957820        0.071190
BFGS:   25 23:48:03     -131.958215        0.063548
BFGS:   26 23:48:55     -131.958587        0.056888
BFGS:   27 23:49:59     -131.959641        0.046466
