      Step     Time          Energy          fmax
BFGS:    0 13:59:42     -124.889047        2.163944
BFGS:    1 14:01:11     -124.994246        1.922711
BFGS:    2 14:03:00     -125.417021        0.697903
BFGS:    3 14:04:47     -125.513443        0.242164
BFGS:    4 14:06:33     -125.535142        0.293906
BFGS:    5 14:07:59     -125.542958        0.309792
BFGS:    6 14:09:38     -125.555884        0.309636
BFGS:    7 14:11:15     -125.580108        0.269774
BFGS:    8 14:13:02     -125.608933        0.293937
BFGS:    9 14:14:47     -125.634302        0.264432
BFGS:   10 14:18:10     -125.648454        0.177391
BFGS:   11 14:29:48     -125.650849        0.125766
BFGS:   12 14:32:51     -125.651793        0.114968
BFGS:   13 14:38:17     -125.656674        0.139479
BFGS:   14 14:42:15     -125.663091        0.146505
BFGS:   15 14:46:02     -125.671201        0.118684
BFGS:   16 14:49:46     -125.675470        0.132987
BFGS:   17 14:54:15     -125.676836        0.112616
BFGS:   18 14:58:36     -125.677522        0.098250
BFGS:   19 15:01:17     -125.679550        0.084993
BFGS:   20 15:04:16     -125.684003        0.112717
BFGS:   21 15:07:03     -125.693265        0.143953
BFGS:   22 15:10:37     -125.709801        0.163903
BFGS:   23 15:14:26     -125.725797        0.132609
BFGS:   24 15:18:25     -125.733847        0.058354
BFGS:   25 15:21:19     -125.735440        0.052517
BFGS:   26 15:23:11     -125.735995        0.049668
