      Step     Time          Energy          fmax
FIRE:    0 06:49:54      -80.288959        0.219461
FIRE:    1 07:10:23      -80.289905        0.213386
FIRE:    2 07:20:41      -80.291624        0.207373
FIRE:    3 07:31:26      -80.294038        0.195223
FIRE:    4 07:42:38      -80.296955        0.177891
FIRE:    5 07:55:35      -80.300046        0.157248
FIRE:    6 08:08:40      -80.303283        0.136865
FIRE:    7 08:22:54      -80.305980        0.114520
FIRE:    8 08:37:10      -80.307891        0.088530
